"Browser","Developer","Layout engine","Platform","Version","Date","License","Cost (USD)"
"GNOME Web (Epiphany)","Marco Pesenti Gritti","WebKit","macOS","50.0[28]","2026-03-12","GPL-3.0-or-later","No cost"
"GNOME Web (Epiphany)","Marco Pesenti Gritti","WebKit","Unix","50.0[28]","2026-03-12","GPL-3.0-or-later","No cost"
"GNU IceCat","GNU","Gecko","Android","140.11.0[29]","2026-05-18","MPL-2.0","No cost"
"GNU IceCat","GNU","Gecko","Linux","140.11.0[29]","2026-05-18","MPL-2.0","No cost"
"GNU IceCat","GNU","Gecko","macOS","140.11.0[29]","2026-05-18","MPL-2.0","No cost"
"GNU IceCat","GNU","Gecko","Windows","140.11.0[29]","2026-05-18","MPL-2.0","No cost"
"iCab","Alexander Clauss","WebKit","macOS","6.3.6[30]","2025-11-16","Proprietary[i] LGPL[j]","Depends[k]"
"Internet Explorer (discontinued)","Microsoft, Spyglass","Trident","Windows","","","Proprietary","Bundled[l]"
"Internet Explorer for Mac (discontinued)","Microsoft","Tasman","macOS","5.2.3[31]","2003-06-16","Proprietary","No cost"
"K-Meleon","Dorian, KKO, et al.","Goanna","Windows","76.4.7[32]","2023-04-07","GPL","No cost"
"Konqueror","KDE","KHTML WebKit","BSD","26.04.2[33]","2026-05-29","GPL-2.0-or-later","No cost"
"Konqueror","KDE","KHTML WebKit","Linux","26.04.2[33]","2026-05-29","GPL-2.0-or-later","No cost"
"Konqueror","KDE","KHTML WebKit","macOS","26.04.2[33]","2026-05-29","GPL-2.0-or-later","No cost"
"Konqueror","KDE","KHTML WebKit","Unix","26.04.2[33]","2026-05-29","GPL-2.0-or-later","No cost"
"Konqueror","KDE","KHTML WebKit","Windows","26.04.2[33]","2026-05-29","GPL-2.0-or-later","No cost"
"Ladybird","Ladybird Browser Initiative","LibWeb","Android","","","BSD-2-Clause","No cost"
"Ladybird","Ladybird Browser Initiative","LibWeb","BSD","","","BSD-2-Clause","No cost"
"Ladybird","Ladybird Browser Initiative","LibWeb","Haiku","","","BSD-2-Clause","No cost"
"Ladybird","Ladybird Browser Initiative","LibWeb","Linux","","","BSD-2-Clause","No cost"
"Ladybird","Ladybird Browser Initiative","LibWeb","macOS","","","BSD-2-Clause","No cost"
"Links","Patocka, et al.","Custom","BSD","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Links","Patocka, et al.","Custom","Haiku","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Links","Patocka, et al.","Custom","Linux","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Links","Patocka, et al.","Custom","macOS","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Links","Patocka, et al.","Custom","Unix","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Links","Patocka, et al.","Custom","Windows","2.30[34]","2024-07-27","GPL-2.0-or-later","No cost"
"Lunascape","Lunascape Corporation","Gecko Trident WebKit","Android","","","Proprietary","No cost"
"Lunascape","Lunascape Corporation","Gecko Trident WebKit","iOS","v14.2.6[35]","2025-06-23","Proprietary","No cost"
"Lunascape","Lunascape Corporation","Gecko Trident WebKit","macOS","","","Proprietary","No cost"
"Lunascape","Lunascape Corporation","Gecko Trident WebKit","Windows","6.15.2[36][37]","2018-02-22","Proprietary","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","BSD","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","Haiku","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","Linux","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","macOS","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","Unix","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Lynx","Montulli, Grobe, Rezac, et al.","Fork of libwww","Windows","2.9.3[38]","2026-05-27","GPL-2.0-only","No cost"
"Maxthon","Maxthon International Limited","Blink Trident","Android","7.0.2.2600[39]","2023-06-29","Proprietary","No cost"
"Maxthon","Maxthon International Limited","Blink Trident","iOS","7.1.9[40]","2023-08-22","Proprietary","No cost"
"Maxthon","Maxthon International Limited","Blink Trident","Linux","1.0.5.3[41]","2014-09-09","Proprietary","No cost"
"Maxthon","Maxthon International Limited","Blink Trident","macOS","5.1.70[42]","2022-09-29","Proprietary","No cost"
"Maxthon","Maxthon International Limited","Blink Trident","Windows","7.1.7.8100[43]","2023-12-11","Proprietary","No cost"
"Midori","Christian Dywan, et al.","WebKit Gecko[44]","Android","3.5.15[45]","2025-07-14","LGPL-2.1-or-later","No cost"
"Midori","Christian Dywan, et al.","WebKit Gecko[44]","Linux","","","LGPL-2.1-or-later","No cost"
"Midori","Christian Dywan, et al.","WebKit Gecko[44]","macOS","","","LGPL-2.1-or-later","No cost"
"Midori","Christian Dywan, et al.","WebKit Gecko[44]","Windows","","","LGPL-2.1-or-later","No cost"
"Mosaic (discontinued)","Marc Andreessen and Eric Bina, NCSA","Custom","","3.0","1997-01-07","Proprietary","Depends[m]"
